# Exterior Orientation Parameters (EOPs)
# Rotation is camera-to-world, sensor frame right-up-back
# Rotation order: R = R_kappa * R_phi * R_omega
# Units: position in millimetres, angles in degrees
# Columns: image_name  X  Y  Z  omega  phi  kappa

IMG_0321               4490.4741      -269.5318       616.9594       101.1564        58.2572        -6.9050

IMG_0322               4491.9012      -183.7862       722.9366        86.1027        53.1692       -84.5409

IMG_0323               4454.9877      -392.1218      1431.8717        96.3211        55.5377        -5.5096

IMG_0324               4581.1254      -333.8437      1458.3306        86.1085        52.9558       -85.4221

IMG_0325               4195.5695      -115.6532      2226.5631        52.8149        45.1781        26.8800

IMG_0326               4290.5453      -106.1625      2453.7916        57.5770        45.6157       -64.9061

IMG_0327               2515.6244     -1423.0348       605.5649        89.1176        31.6940        -1.1957

IMG_0328               2608.4493     -1372.3900       742.3696        90.9497        22.9691       -89.8913

IMG_0329               2509.5015     -1457.6486      1464.1625        89.0967        33.4728         0.7117

IMG_0330               2659.1217     -1459.1037      1548.3835        76.2287        25.3287       -82.6142

IMG_0331               2639.1520     -1463.0706      2345.6726        67.8295        28.7321         9.9518

IMG_0332               2646.6226     -1321.1236      2341.8740        59.5691        28.4996       -74.3706

IMG_0333               1883.8553     -2195.7663       612.9784        98.1308        24.7093        -4.0445

IMG_0334               1953.7086     -2153.5425       712.9981        74.7243        15.0060       -84.3553

IMG_0335               1931.4297     -2240.3031      1469.4169        89.6859        25.9387         1.3015

IMG_0336               2034.0390     -2177.9717      1568.6794        73.3254        16.5127       -83.8736

IMG_0337               1861.8128     -2138.4776      2150.5578        65.9313        17.3064         8.9833

IMG_0338               1999.0571     -2085.1840      2340.8452        62.3244        14.8188       -83.0623

IMG_0339                481.5706     -2302.8169       614.7546        94.9279        -7.0276        -0.0128

IMG_0340                300.7101     -2261.1015       197.3918        80.3239        -2.9870       -92.7010

IMG_0341                516.1494     -2328.3183      1455.1262        80.5421       -12.7775        -0.5798

IMG_0342                543.9466     -2350.8877      1574.9909        70.4062         0.2795       -88.3204

IMG_0343                500.2590     -2290.2342      2250.0080        70.8977        -9.7464        -3.6938

IMG_0344                577.4066     -2287.5943      2290.6495        61.9156       -18.8042       -99.7020

IMG_0345              -1036.8039     -1106.8395       607.2118        89.4250       -37.3946        -1.8779

IMG_0346               -968.0444     -1150.1723       690.1728        68.6532       -36.7468      -103.7762

IMG_0347              -1103.6172     -1236.0128      1551.2570        79.6591       -36.6964        -5.5610

IMG_0348              -1014.4205     -1084.3372      1562.4769        71.2973       -37.6175      -100.7275

IMG_0349              -1086.9139     -1128.7216      2399.9704        54.2019       -32.1119       -20.2146

IMG_0350               -996.9107     -1101.2109      2405.0336        38.8978       -27.4583      -116.6664
