# Image point observations
# 2D pixel coordinates of GCPs in each image
# Origin: top-left of image (matches OpenCV convention)
# x increases rightward, y increases downward
# Units: pixels
# Columns: point_id  image_name  x  y

1065	IMG_0321	223.971		1803.579
1066	IMG_0321	240.865		1657.605
1067	IMG_0321	327.918		1636.140
1069	IMG_0321	549.176		424.973
1070	IMG_0321	493.523		1065.970
1071	IMG_0321	519.869		875.461
1072	IMG_0321	579.258		336.449
1073	IMG_0321	484.155		1306.851
1074	IMG_0321	426.060		2010.499
1075	IMG_0321	448.969		1841.576
1076	IMG_0321	569.526		1110.167
1077	IMG_0321	699.656		791.154
1078	IMG_0321	748.504		636.612
1079	IMG_0321	744.299		889.997
1080	IMG_0321	783.467		428.082
1081	IMG_0321	706.139		1316.263
1082	IMG_0321	689.619		1831.244
1083	IMG_0321	712.404		1674.311
1084	IMG_0321	841.142		1379.891
1085	IMG_0321	812.827		2040.926
1086	IMG_0321	994.459		419.945
1087	IMG_0321	965.289		877.934
1088	IMG_0321	1020.003	213.520
1089	IMG_0321	950.120		1088.977
1090	IMG_0321	934.212		1335.010
1091	IMG_0321	914.399		1846.833
1092	IMG_0321	914.577		2117.045
1093	IMG_0321	1059.383	998.720
1094	IMG_0321	1211.035	417.613
1095	IMG_0321	1209.911	631.582
1096	IMG_0321	1195.049	896.019
1097	IMG_0321	1166.974	1338.567
1098	IMG_0321	1150.292	1841.566
1099	IMG_0321	1178.503	1670.184
1100	IMG_0321	1204.285	1604.545
1101	IMG_0321	1328.770	505.988
1102	IMG_0321	1446.236	239.651
1103	IMG_0321	1453.187	420.535
1104	IMG_0321	1433.024	896.452
1105	IMG_0321	1408.772	1340.144
1106	IMG_0321	1425.702	1133.940
1107	IMG_0321	1386.281	1863.028
1108	IMG_0321	1389.045	2135.185
1109	IMG_0321	1509.548	1908.118
1110	IMG_0321	1571.271	1001.419
1111	IMG_0321	1665.127	638.683
1112	IMG_0321	1679.048	419.689
1113	IMG_0321	1635.031	1338.412
1114	IMG_0321	1684.029	890.539
1115	IMG_0321	1631.646	1865.295
1116	IMG_0321	1651.507	1699.493
1117	IMG_0321	1749.073	1444.644
1118	IMG_0321	1824.300	356.390
1119	IMG_0321	1909.270	230.622
1120	IMG_0321	1903.473	425.871
1121	IMG_0321	1892.008	902.836
1122	IMG_0321	1872.139	1362.071
1123	IMG_0321	1889.745	1134.218
1124	IMG_0321	1872.626	1890.843
1125	IMG_0321	1856.845	2159.153
1126	IMG_0321	2109.992	753.086
1127	IMG_0321	2130.722	455.495
1128	IMG_0321	2122.992	643.868
1129	IMG_0321	2120.000	911.000
1130	IMG_0321	2106.996	1344.352
1131	IMG_0321	2118.000	1889.000
1132	IMG_0321	2130.775	1724.434
1133	IMG_0321	2247.094	2081.854
1134	IMG_0321	2289.644	1275.555
1135	IMG_0321	2383.177	292.936
1136	IMG_0321	2379.008	452.286
1137	IMG_0321	2354.912	1149.911
1138	IMG_0321	2362.349	1369.392
1139	IMG_0321	2344.889	1925.604
1140	IMG_0321	2337.800	2174.931
1141	IMG_0321	2380.799	905.218
1142	IMG_0321	2565.614	549.769
1143	IMG_0321	2544.403	1798.748
1145	IMG_0321	2619.715	916.753
1146	IMG_0321	2645.048	1704.674
1147	IMG_0321	2685.828	1016.813
1148	IMG_0321	2672.656	1378.998
2000	IMG_0321	2845.000	1217.000
2001	IMG_0321	2838.000	1589.000
2002	IMG_0321	2836.000	1912.000
2003	IMG_0321	2870.000	365.000
2004	IMG_0321	2861.000	813.000
2005	IMG_0321	2854.000	1306.000
2006	IMG_0321	2863.000	1747.000
2007	IMG_0321	2872.000	1870.000
2008	IMG_0321	2907.000	635.000
2009	IMG_0321	2929.000	243.000
2010	IMG_0321	2910.000	1261.000
2011	IMG_0321	2915.000	992.000
2012	IMG_0321	2926.000	477.000
2013	IMG_0321	2923.000	712.000
2014	IMG_0321	2908.000	1911.000
2015	IMG_0321	2909.000	2163.000
2016	IMG_0321	2937.000	1347.000
2017	IMG_0321	2996.000	96.000
2018	IMG_0321	2979.000	1241.000
2019	IMG_0321	2988.000	611.000
2020	IMG_0321	2975.000	1888.000
2021	IMG_0321	2979.000	1565.000
2022	IMG_0321	3011.156	1683.612
2023	IMG_0321	3031.000	124.000
2024	IMG_0321	3057.000	231.000
2026	IMG_0321	3057.483	2245.629
2027	IMG_0321	3063.000	802.000
2028	IMG_0321	3059.551	1901.246
2029	IMG_0321	3064.520	1143.625
2030	IMG_0321	3072.000	477.000
2031	IMG_0321	3084.202	2097.868
2032	IMG_0321	3090.000	606.000
2033	IMG_0321	3155.000	350.000
2034	IMG_0321	3153.963	1067.819
2035	IMG_0321	3152.752	1499.875
2036	IMG_0321	3154.535	1900.193
2037	IMG_0321	3161.466	1338.534
2039	IMG_0321	3253.347	179.715
2044	IMG_0321	3761.441	2199.438
2045	IMG_0321	3758.001	581.759
3001	IMG_0321	2663.000	2329.000
3002	IMG_0321	2762.000	2586.000
3004	IMG_0321	2261.000	2307.000
3005	IMG_0321	2001.000	2541.000
3007	IMG_0321	1800.000	2280.000
3008	IMG_0321	1480.000	2521.000
3010	IMG_0321	1303.000	2252.000
3011	IMG_0321	641.000		2465.000
4004	IMG_0321	1234.122	220.109
4005	IMG_0321	1676.815	225.607
4006	IMG_0321	2166.501	252.242
4008	IMG_0321	540.050		636.285
4009	IMG_0321	969.577		634.501
4010	IMG_0321	1452.810	645.094
4011	IMG_0321	1893.453	648.838
4012	IMG_0321	2362.436	650.143
4015	IMG_0321	728.799		1105.880
4016	IMG_0321	1179.183	1124.808
4017	IMG_0321	1676.056	1143.563
4018	IMG_0321	2131.583	1146.194
4019	IMG_0321	2602.907	1154.507
4021	IMG_0321	469.543		1625.309
4022	IMG_0321	938.669		1636.617
4023	IMG_0321	1412.478	1650.821
4025	IMG_0321	2370.820	1697.802
4027	IMG_0321	255.798		2003.301
4028	IMG_0321	642.316		2029.954
4029	IMG_0321	1180.331	2036.526
4030	IMG_0321	1650.653	2084.084
4031	IMG_0321	2098.873	2098.741
4032	IMG_0321	2597.921	2131.885
5019	IMG_0321	2665.570	456.512
5026	IMG_0321	2647.281	643.481
5078	IMG_0321	2557.711	1911.044
5079	IMG_0321	2770.885	1934.979
6003	IMG_0321	2874.000	537.000
6004	IMG_0321	2994.000	345.000
6005	IMG_0321	3131.000	79.000
6010	IMG_0321	2859.000	1052.000
6011	IMG_0321	2981.000	925.000
6012	IMG_0321	3157.914	703.125
6016	IMG_0321	2906.000	1585.000
6018	IMG_0321	3831.746	1142.509
6021	IMG_0321	2843.000	2137.000
6022	IMG_0321	2978.000	2198.000
6023	IMG_0321	3147.810	2295.134
6024	IMG_0321	3880.027	2659.101
7001	IMG_0321	2686.000	2444.000
7002	IMG_0321	2977.742	2895.952
7003	IMG_0321	2112.000	2415.000
7004	IMG_0321	1930.410	2795.432
7005	IMG_0321	1425.000	2371.000
7006	IMG_0321	758.575		2723.957
7007	IMG_0321	767.000		2244.000
7008	IMG_0321	499.000		2320.000
7009	IMG_0321	30.000		2443.000
7012	IMG_0321	185.000		2215.000
1086	IMG_0322	393.657		2993.382
1087	IMG_0322	922.310		2998.621
1088	IMG_0322	151.311		2974.583
1089	IMG_0322	1159.994	3001.175
1090	IMG_0322	1431.156	3001.662
1091	IMG_0322	1973.986	2986.975
1092	IMG_0322	2248.690	2968.114
1093	IMG_0322	1060.762	2885.183
1094	IMG_0322	396.859		2747.088
1095	IMG_0322	646.026		2737.767
1096	IMG_0322	948.037		2740.111
1097	IMG_0322	1437.920	2745.780
1098	IMG_0322	1968.255	2734.150
1099	IMG_0322	1790.938	2714.034
1100	IMG_0322	1722.137	2689.908
1101	IMG_0322	503.780		2609.599
1102	IMG_0322	195.930		2487.919
1103	IMG_0322	408.515		2473.210
1104	IMG_0322	954.097		2476.199
1105	IMG_0322	1442.816	2483.214
1106	IMG_0322	1218.256	2474.069
1107	IMG_0322	1990.038	2482.972
1108	IMG_0322	2261.919	2467.930
1109	IMG_0322	2035.239	2351.623
1110	IMG_0322	1074.564	2320.694
1111	IMG_0322	668.235		2229.545
1112	IMG_0322	416.211		2220.169
1113	IMG_0322	1443.914	2240.122
1114	IMG_0322	953.701		2201.308
1115	IMG_0322	1992.099	2225.812
1116	IMG_0322	1823.607	2210.461
1117	IMG_0322	1558.612	2115.394
1118	IMG_0322	348.132		2060.550
1119	IMG_0322	205.206		1968.858
1120	IMG_0322	432.303		1971.945
1121	IMG_0322	972.662		1975.813
1122	IMG_0322	1472.720	1987.479
1123	IMG_0322	1227.231	1973.825
1124	IMG_0322	2016.967	1976.252
1125	IMG_0322	2279.000	1986.000
1126	IMG_0322	812.161		1743.906
1127	IMG_0322	476.044		1723.881
1128	IMG_0322	690.039		1730.767
1129	IMG_0322	989.206		1731.401
1130	IMG_0322	1457.097	1742.200
1131	IMG_0322	2013.000	1724.000
1132	IMG_0322	1848.000	1714.000
1133	IMG_0322	2199.527	1600.139
1134	IMG_0322	1386.413	1553.981
1135	IMG_0322	300.356		1451.685
1136	IMG_0322	482.878		1457.228
1137	IMG_0322	1253.312	1486.560
1138	IMG_0322	1486.351	1480.416
1139	IMG_0322	2047.429	1502.931
1140	IMG_0322	2286.584	1512.629
1141	IMG_0322	988.816		1458.420
1142	IMG_0322	600.704		1261.807
1143	IMG_0322	1921.254	1305.700
1145	IMG_0322	1007.776	1212.556
1146	IMG_0322	1827.987	1205.784
1147	IMG_0322	1117.290	1147.668
1148	IMG_0322	1498.454	1170.206
2000	IMG_0322	1334.000	994.000
2001	IMG_0322	1712.000	1014.000
2002	IMG_0322	2030.000	1027.000
2003	IMG_0322	408.000		940.000
2004	IMG_0322	904.000		964.000
2005	IMG_0322	1427.000	989.000
2006	IMG_0322	1871.000	996.000
2007	IMG_0322	1991.000	994.000
2008	IMG_0322	713.000		914.000
2009	IMG_0322	278.000		878.000
2010	IMG_0322	1386.000	935.000
2011	IMG_0322	1104.000	921.000
2012	IMG_0322	540.000		891.000
2013	IMG_0322	804.000		902.000
2014	IMG_0322	2035.000	962.000
2015	IMG_0322	2274.000	971.000
2016	IMG_0322	1476.000	913.000
2017	IMG_0322	119.000		808.000
2018	IMG_0322	1373.000	872.000
2019	IMG_0322	699.000		836.000
2020	IMG_0322	2019.000	902.000
2021	IMG_0322	1704.000	885.000
2022	IMG_0322	1822.000	862.000
2023	IMG_0322	158.000		776.000
2024	IMG_0322	284.000		754.000
2026	IMG_0322	2364.000	844.000
2027	IMG_0322	918.000		774.000
2028	IMG_0322	2039.000	828.000
2029	IMG_0322	1280.000	789.000
2030	IMG_0322	563.000		751.000
2031	IMG_0322	2226.000	815.000
2032	IMG_0322	709.000		739.000
2033	IMG_0322	440.679		668.902
2034	IMG_0322	1210.000	703.000
2035	IMG_0322	1655.176	727.235
2036	IMG_0322	2047.195	745.237
2037	IMG_0322	1492.566	710.896
2039	IMG_0322	253.000		565.000
2044	IMG_0322	2380.667	231.161
2045	IMG_0322	767.118		116.201
3001	IMG_0322	2428.000	1205.000
3002	IMG_0322	2698.000	1136.000
3003	IMG_0322	3538.451	799.621
3004	IMG_0322	2416.000	1589.000
3005	IMG_0322	2677.000	1864.000
3006	IMG_0322	3597.831	2365.572
3007	IMG_0322	2400.000	2045.000
3008	IMG_0322	2675.000	2387.000
3010	IMG_0322	2380.000	2553.000
4004	IMG_0322	165.465		2729.506
4005	IMG_0322	188.607		2228.247
4006	IMG_0322	242.657		1686.001
4009	IMG_0322	642.000		3009.000
